City,Date,Value,Year,Month,Value_lag1,temperature_2m_mean (°C)_lag1,temperature_2m_max (°C)_lag1,temperature_2m_min (°C)_lag1,apparent_temperature_mean (°C)_lag1,apparent_temperature_max (°C)_lag1,apparent_temperature_min (°C)_lag1,precipitation_sum (mm)_lag1,rain_sum (mm)_lag1,precipitation_hours (h)_lag1,shortwave_radiation_sum (MJ/m²)_lag1,et0_fao_evapotranspiration (mm)_lag1,wind_speed_10m_max (km/h)_lag1,wind_gusts_10m_max (km/h)_lag1,wind_direction_10m_dominant (°)_lag1,weather_code (wmo code)_lag1,utc_offset_seconds_lag1
Ampara,2010-02-01,187,2010,2,227.0,25.206451612903226,27.65806451612903,23.274193548387096,28.48709677419355,31.16774193548387,26.54516129032258,121.1,121.1,238.0,516.59,107.47,21.9,44.3,86.03225806451613,51.0,19800.0
Ampara,2010-03-01,96,2010,3,187.0,25.77857142857143,28.59642857142857,23.54642857142857,29.375,32.82142857142857,27.107142857142858,30.7,30.7,86.0,537.8,112.33,22.5,45.7,57.785714285714285,51.0,19800.0
Ampara,2010-04-01,76,2010,4,96.0,27.438709677419357,31.154838709677417,24.438709677419357,31.951612903225808,36.65483870967742,28.925806451612903,36.2,36.2,94.0,713.69,153.63,18.9,42.8,94.35483870967742,51.0,19800.0
Ampara,2010-05-01,22,2010,5,76.0,28.3,31.753333333333334,25.709999999999997,34.053333333333335,38.763333333333335,31.236666666666668,76.0,76.0,152.0,636.9,136.43,14.2,33.8,158.56666666666666,51.0,19800.0
Ampara,2010-06-01,14,2010,6,22.0,28.641935483870967,32.29032258064516,26.151612903225807,34.31612903225806,39.29354838709677,31.293548387096774,92.3,92.3,134.0,624.2,137.17,28.6,56.5,190.80645161290323,51.0,19800.0
Ampara,2010-07-01,35,2010,7,14.0,28.84333333333333,33.02333333333333,26.1,33.77,39.056666666666665,30.596666666666668,97.0,97.0,84.0,615.91,141.35,19.6,46.4,209.66666666666666,63.0,19800.0
Ampara,2010-08-01,30,2010,8,35.0,28.86774193548387,33.041935483870965,25.76451612903226,33.41935483870968,38.34516129032258,30.129032258064516,43.1,43.1,57.0,650.75,149.16,20.5,47.5,213.0,51.0,19800.0
Ampara,2010-09-01,25,2010,9,30.0,28.603225806451615,32.71935483870968,25.729032258064517,33.59032258064516,38.78709677419355,30.309677419354838,133.1,133.1,117.0,623.95,139.14,14.3,45.0,207.5483870967742,51.0,19800.0
Ampara,2010-10-01,15,2010,10,25.0,27.626666666666665,31.276666666666664,25.03666666666667,33.0,37.74666666666667,30.006666666666668,155.1,155.1,168.0,583.1,124.56,15.8,34.9,184.76666666666668,63.0,19800.0
Ampara,2010-11-01,24,2010,11,15.0,27.251612903225805,31.22258064516129,24.396774193548385,32.403225806451616,37.31612903225806,29.032258064516128,138.3,138.3,153.0,623.65,131.37,15.1,47.9,192.03225806451613,1.0,19800.0
